DRG Definition,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",OR,81,567117.02469,201253.51852,187900.16049
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",KS,85,467755.61176,103626.36471,98600.835294
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",WV,88,296286.04545,114355.59091,92895.727273
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",DE,107,313195.28972,141443.51402,123668.2243
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",IA,116,397976.18966,122956.72414,112432.82759
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NE,118,419384.52542,119146.29661,111709.68644
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",CT,141,572651.5461,178184.41844,154434.78014
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",DC,149,609053.11409,168400.38926,139888.86577
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MS,154,418654.80519,97655.649351,90682.811688
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",WI,168,469552.51786,155204.85714,124967.28571
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",WA,175,581367.08571,170901.23429,145875.07429
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NV,187,734292.03743,124596.4385,116490.2139
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",LA,203,410344.6601,118733.36453,104097.92118
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",CO,205,688393.57073,137363.16098,125721.4
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AR,208,338382.6875,92630.384615,85098.807692
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",OK,241,619385.09959,121811.70124,106057.55187
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",KY,287,421755.96167,120499,110354.52265
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",SC,287,540855.04181,128064.18815,111652.65157
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AZ,301,531280.40532,133523.51163,115940.06977
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MD,302,158100.42053,145940.43377,140269.56954
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AL,306,591340.6732,118857.0915,108205.71895
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MN,306,433811.98693,162550.75817,145326.64052
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MA,346,508548.50578,187071.56647,175151.40751
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",IN,359,487769.8273,126886.95822,112861.08357
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",VA,409,592862.30562,160727.22738,130786.55501
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",TN,478,449595.14435,107337.61925,101055.70084
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MO,494,461686.03846,126264.52024,121929.86032
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NC,537,429804.0149,139521.41713,119832.64246
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NJ,552,768410.97826,144806.90399,126966.66667
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",GA,555,637125.27748,135940.0955,123553.91532
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",IL,602,512295.18106,142609.63953,124478.5897
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MI,607,377597.46787,135176.00165,124919.6145
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",OH,643,483967.4479,125392.91446,110646.15552
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",PA,971,857766.99073,149259.03193,129081.35942
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",TX,1169,621365.27203,134431.23952,118291.72455
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY,1217,679901.00822,192180.14215,171238.21775
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",FL,1222,697030.32979,124959.0401,113468.79133
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",CA,1320,1089525.1356,200879.41136,188963.76515
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",HI,19,354308.84211,157610.84211,92703.052632
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MT,19,222543.73684,69669.052632,68654.157895
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",SD,20,221678.7,71450.5,69273.3
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AK,23,448820.30435,95639.869565,93401.695652
007 - LUNG TRANSPLANT,MO,31,266838.25806,81082.870968,74544.967742
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NH,29,347513.93103,106804.96552,101025.34483
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",RI,29,350410.41379,110335.82759,95584.241379
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",ME,34,343269.29412,124721.08824,106454.55882
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",ND,35,212280.8,71880.285714,69128.2
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",OR,43,318227.62791,104995.7907,97183.488372
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",ID,44,219235.59091,60293.045455,59411.681818
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",UT,54,207477.22222,63890.5,54384.037037
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NM,59,271305.15254,77617.949153,67898.067797
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",DE,63,201161.28571,87579.206349,67871.396825
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",IA,76,213907.89474,63735.092105,58725.815789
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NE,77,257625.51948,70727.337662,66579.961039
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WV,78,200455.29487,69520.166667,62757
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",KS,90,307804.23333,64501.311111,59019.411111
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",CT,102,385077.5098,112511.47059,98201.039216
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",DC,108,375567.68519,109759.32407,88959.75
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WA,132,359812.18182,92481.833333,76715.689394
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AR,141,215862.24113,55174.531915,51534.460993
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",CO,144,397282.25,78159.715278,72829.270833
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MN,164,276403.48171,89630.176829,82621.152439
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AZ,189,313372.68783,71741.005291,65317.772487
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WI,196,224878.32143,79007.693878,66970.403061
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MS,202,270088.15842,59453.742574,54242.856436
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",OK,208,350068.29808,65758.456731,60035.6875
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",LA,230,253706.58261,67375.456522,57953.5
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NV,230,509513.58696,72482.186957,65802.295652
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",SC,248,303682.66532,68556.802419,61719.185484
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AL,271,349466.80074,64924.907749,59291.169742
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MA,283,246437.38516,96569.805654,90197.812721
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MD,314,106325.03822,98015.38535,93973.433121
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",VA,315,302663.5873,84454.330159,65838.91746
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",KY,343,266680.49854,70802.816327,62665.938776
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MO,355,302367.52394,73254.921127,68267.242254
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",IN,380,243379.76842,65324.692105,60704.313158
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NC,414,223463.71498,74058.091787,64277.661836
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",GA,458,312980.73799,71810.965066,63663.556769
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",TN,467,243007.80086,60262.1606,53493.837259
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",IL,568,265962.42254,73207.348592,65598.846831
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",PA,574,401518.19164,77382.11324,68176.529617
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MI,615,220624.35122,76622.970732,69362.705691
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",OH,625,246153.496,66068.5456,58859.888
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NJ,652,472751.34663,82015.691718,73454.685583
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",TX,1067,365732.72165,68876.890347,61802.961575
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY,1096,413792.32026,118303.98723,105207.26277
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",FL,1122,390661.69964,67577.611408,59976.639037
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",CA,1369,647891.90869,111734.31629,103746.07451
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,UT,12,465019.33333,127026.5,71718.583333
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,NE,14,565278.92857,148308.35714,78289.285714
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,CO,16,678321.5,101621.4375,95356.625
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,VA,17,428874.35294,109641.64706,76405.941176
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,WA,17,443172.88235,169826.70588,71845.176471
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,KY,19,518016.84211,90328.578947,83823.105263
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,SC,20,413024.4,112676.6,85737.3
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,KS,21,492088.71429,85780.095238,58182.428571
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,OK,23,475395.82609,70600.695652,65931.565217
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,AL,24,442323.04167,81499.166667,68185.625
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,IN,24,719327.08333,110548.45833,102612.41667
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,DC,28,704800.57143,166746.92857,93187.035714
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,WI,33,791397.39394,192503.63636,143640.60606
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MN,35,370482.4,133831.05714,86781.6
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MO,35,242562.88571,78530.257143,72066.514286
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,AZ,36,418872.66667,93305.138889,79295.805556
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MI,36,419013.41667,102625.13889,91207.694444
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MD,38,202186.44737,186271.42105,185409.31579
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,TN,40,379576.7,84355.9,73558.25
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,GA,41,430784.68293,100924.68293,67336.292683
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,IL,42,553513.95238,164199.57143,94251.095238
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,NC,46,334416.63043,96308.847826,73413.913043
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,LA,47,462962.04255,100083.25532,72432.446809
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,NY,56,518559.64286,131523.44643,109536.375
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,OH,61,493761.72131,106641.39344,81000.983607
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MA,67,453333.02985,126347.13433,107064.77612
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,FL,79,504307.97468,122402.34177,90978.949367
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,PA,81,699022.85185,114140.5679,82965.851852
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,TX,147,481719.13605,106395.35374,75951.755102
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,CA,157,1173518.7962,190935.63694,172116.70064
006 - LIVER TRANSPLANT W/O MCC,IL,13,286321.38462,55918.461538,37496.538462
006 - LIVER TRANSPLANT W/O MCC,MN,13,238469.53846,56375.538462,42417.538462
006 - LIVER TRANSPLANT W/O MCC,WI,13,348074.46154,67522.230769,42125.846154
006 - LIVER TRANSPLANT W/O MCC,GA,14,278103.14286,63918.571429,28112.785714
006 - LIVER TRANSPLANT W/O MCC,VA,14,351114.21429,74400.571429,37818.714286
006 - LIVER TRANSPLANT W/O MCC,NC,15,211768.8,45121.933333,33002.266667
006 - LIVER TRANSPLANT W/O MCC,KS,16,311322.4375,38254.875,26959.375
006 - LIVER TRANSPLANT W/O MCC,MI,17,238493.58824,41151.764706,38502.529412
006 - LIVER TRANSPLANT W/O MCC,AL,19,256126.26316,48291.105263,20857.157895
006 - LIVER TRANSPLANT W/O MCC,MD,22,137058.59091,126853.31818,119431.09091
006 - LIVER TRANSPLANT W/O MCC,MA,24,248464.70833,56585.375,41072.541667
006 - LIVER TRANSPLANT W/O MCC,NY,26,449666.76923,70367.538462,47856.576923
006 - LIVER TRANSPLANT W/O MCC,TN,26,263147.23077,38123.884615,35148.730769
006 - LIVER TRANSPLANT W/O MCC,OH,31,320708.45161,52109.451613,33785.225806
006 - LIVER TRANSPLANT W/O MCC,FL,35,303213.85714,68928.714286,30348.742857
006 - LIVER TRANSPLANT W/O MCC,CA,38,541537,64299.894737,54072.552632
006 - LIVER TRANSPLANT W/O MCC,PA,44,521838.52273,63188.204545,40678.363636
006 - LIVER TRANSPLANT W/O MCC,TX,46,295101.23913,48926.478261,32217.369565
007 - LUNG TRANSPLANT,OK,11,624859.09091,91644.636364,80178.909091
007 - LUNG TRANSPLANT,KY,12,456163.33333,81215.083333,74804.416667
007 - LUNG TRANSPLANT,MD,12,180407.41667,166204.25,165550.91667
007 - LUNG TRANSPLANT,NY,12,626167.91667,163358.58333,119889
007 - LUNG TRANSPLANT,CO,13,642224.46154,88833.076923,81540.153846
007 - LUNG TRANSPLANT,VA,14,509601.28571,106337.35714,88275.857143
007 - LUNG TRANSPLANT,NC,16,577971.5625,153640.8125,74742.3125
007 - LUNG TRANSPLANT,WA,18,509582,189314.38889,69232.277778
007 - LUNG TRANSPLANT,MN,23,577295.17391,140057.86957,114983.43478
007 - LUNG TRANSPLANT,MI,24,542319.5,129109.08333,117992.66667
007 - LUNG TRANSPLANT,IL,27,489744.96296,89924,82969.407407
007 - LUNG TRANSPLANT,AZ,36,614471.22222,90987.916667,77843.222222
007 - LUNG TRANSPLANT,FL,43,539825.2093,96023.976744,76533.139535
007 - LUNG TRANSPLANT,OH,46,465056.02174,88516.26087,74452.347826
007 - LUNG TRANSPLANT,CA,50,967775.22,144864.5,134489.66
007 - LUNG TRANSPLANT,TX,67,488410.52239,107889.52239,77317.298507
007 - LUNG TRANSPLANT,PA,73,1064899.0411,119044.9726,95017.164384
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,AZ,11,267327,67647.818182,32495.909091
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,KY,11,504389.54545,56769.545455,42850.181818
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,DC,12,403876.41667,101270.16667,25825.083333
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,IN,12,473519.83333,44577.25,41597.75
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,NY,12,362635.16667,98151.416667,39692.25
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,NC,14,319384.78571,94197.642857,22430.5
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,PA,14,604830.92857,73959.071429,39442
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,VA,14,451341.21429,62640.571429,56938.214286
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,GA,16,354240.625,80211.9375,36537.25
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,MN,16,316737.9375,74298.9375,40937.5
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,IL,18,390219,49359.166667,45646.944444
